distance_angle_similarity,text_si,similarity,Id_recommend,Name_recommend,Id,Name
0.802514981444597,2.0,2.802514981444597,2286525,Navigation drawer 2,2286525,Navigation drawer 2
0.4386745393256841,1.5925925925925926,2.031267131918277,2727,Navigation header,2286525,Navigation drawer 2
0.33918560534151304,1.6875,2.026685605341513,473776,Profile dropdown,2286525,Navigation drawer 2
0.38773173985380105,1.5714285714285714,1.9591603112823726,2728,Simple menu sidebar,2286525,Navigation drawer 2
0.3759432704888965,1.5714285714285714,1.947371841917468,2729,Multi-level menu sidebar,2286525,Navigation drawer 2
0.9016438459607189,2.0,2.901643845960719,473870,Table,473870,Table
0.8861434488947479,2.0,2.8861434488947477,473825,Striped table,473870,Table
0.8525440823412553,2.0,2.8525440823412556,473960,Table with avatars,473870,Table
0.6000076499672923,1.2,1.8000076499672923,2288551,Link sharing,473870,Table
0.42902353194215626,1.2,1.6290235319421562,4850,Data card,473870,Table
0.9017628760990413,2.0,2.901762876099041,2098810,Welcome modal 1,2098810,Welcome modal 1
0.8229826066694528,2.0,2.822982606669453,2098818,Welcome modal 2,2098810,Welcome modal 1
0.6277586138392383,2.0,2.627758613839238,2139479,Media popup 1,2098810,Welcome modal 1
0.4576450673024899,2.0,2.45764506730249,2139478,Media popup 2,2098810,Welcome modal 1
0.9343341930295502,1.1731351500137626,2.107469343043313,2098629,Empty state,2098810,Welcome modal 1
0.8466234034164768,2.0,2.846623403416477,319570,Link sharing,319570,Link sharing
0.7521950185256172,1.0,1.7521950185256172,2288551,Link sharing,319570,Link sharing
0.3899594857707682,1.3157894736842106,1.7057489594549788,473960,Table with avatars,319570,Link sharing
0.3836062092226325,1.2121212121212122,1.5957274213438446,319373,Shipping information,319570,Link sharing
0.655920682128028,0.8773584905660378,1.5332791726940658,2288601,Project sharing,319570,Link sharing
0.8613726077905991,3.0,3.861372607790599,2098731,Sign up 2,2098731,Sign up 2
0.6987978061400741,3.0,3.698797806140074,2722,Sign up 1,2098731,Sign up 2
0.855764685845239,2.130952380952381,2.98671706679762,2098714,Sign in 2,2098731,Sign up 2
0.7026385670078062,2.130952380952381,2.8335909479601873,319395,Sign in 1,2098731,Sign up 2
0.7178342738800312,1.3076923076923077,2.025526581572339,319640,File upload,2098731,Sign up 2
0.8915308584301551,1.0,1.8915308584301551,319415,Generic card (compact),319415,Generic card (compact)
0.7449314335152157,1.0,1.7449314335152157,2098818,Welcome modal 2,319415,Generic card (compact)
0.6889112961704861,1.0,1.688911296170486,2098810,Welcome modal 1,319415,Generic card (compact)
0.6399756773507476,1.0,1.6399756773507477,2098594,Action confirmation 4,319415,Generic card (compact)
0.529138591932681,1.0,1.529138591932681,2098585,Action confirmation 3,319415,Generic card (compact)
0.6688919935694538,1.0,1.6688919935694537,2098801,Sticky banner,2098801,Sticky banner
0.9906690171879248,0.3023255813953488,1.2929945985832736,473609,Inline message 2,2098801,Sticky banner
