id,name,Id_input
2288653,Action confirmation 1,474046
473769,Pagination 3,474046
474046,Tabs in pills,474046
319546,Feature guideline,319546
473609,Inline message 2,319546
473640,Loading spinner,319546
2098636,Floating banner,319546
2139535,Inline message 1,319546
2139477,iOS keyboard,2727
2193809,Android keyboard,2727
2288631,Top bar 2,2727
2726,Header with search box,2727
2727,Navigation header,2727
473539,Calendar,473539
473757,Pagination 2,473539
473744,Pagination 1,473539
2098629,Empty state,473539
2288669,Segment,473539
2286525,Navigation drawer 2,2288450
2288450,Snackbar,2288450
2288575,Message card,2288450
319588,Notification card,2288450
473633,Loading bar,2288450
2288531,Horizontal media card,2288641
2288641,Vertical media card,2288641
4779,Vertical media card,2288641
319588,Notification card,2288641
4788,Horizontal media card,2288641
2139478,Media popup 2,2139478
2098594,Action confirmation 4,2139478
2098636,Floating banner,2139478
2098810,Welcome modal 1,2139478
2098818,Welcome modal 2,2139478
2139458,Navigation drawer 1,2288403
2288403,Basic bottom sheet,2288403
473572,Combo box,2288403
473614,Item dropdown,2288403
473796,Simple dropdown,2288403
2288531,Horizontal media card,2288531
4788,Horizontal media card,2288531
2288641,Vertical media card,2288531
319415,Generic card (compact),2288531
473671,Number input 2,2288531
4788,Horizontal media card,4788
2098629,Empty state,4788
2139535,Inline message 1,4788
2288531,Horizontal media card,4788
2288641,Vertical media card,4788
2288403,Basic bottom sheet,473614
473572,Combo box,473614
473614,Item dropdown,473614
473796,Simple dropdown,473614
2139458,Navigation drawer 1,473614
2288423,Chips,2288423
319415,Generic card (compact),2288423
319449,Pricing card,2288423
4779,Vertical media card,2288423
4835,Applicant profile card,2288423
4849,Kanban card,4849
2098611,Bubble message,4849
2098779,Stepper 2,4849
2288629,Social invitation card,4849
2288631,Top bar 2,4849
2288669,Segment,473744
473539,Calendar,473744
473744,Pagination 1,473744
473757,Pagination 2,473744
2139488,Tabs in pills,473744
2139477,iOS keyboard,473646
2139488,Tabs in pills,473646
2193809,Android keyboard,473646
473525,Action confirmation 2,473646
473646,Map in dark mode,473646
2098709,Scroll bar,2098766
2098766,Stepper 1,2098766
2098801,Sticky banner,2098766
2139511,Floating banner,2098766
2288684,Toast message,2098766
2288653,Action confirmation 1,2098585
473525,Action confirmation 2,2098585
2098585,Action confirmation 3,2098585
2098594,Action confirmation 4,2098585
2098810,Welcome modal 1,2098585
2288531,Horizontal media card,2288641
2288641,Vertical media card,2288641
2098704,Progress bar,2288641
473640,Loading spinner,2288641
2139535,Inline message 1,2288641
2098806,Search box and button,2098806
2288631,Top bar 2,2098806
2726,Header with search box,2098806
2727,Navigation header,2098806
48666,Secondary header,2098806
2139477,iOS keyboard,2139477
2193809,Android keyboard,2139477
4817,Social card,2139477
